module,optimize,make_model_option,predict_option,lengthscale_true,variance_true,noise_variance_true,n_train,n_test,t,MSE,MLL,time_make_model,time_predict,time_total,lengthscale,variance,noise_variance
gpml_msgp,True,1000,1000,3.0,2.0,0.2,100,1000,0,0.20834192355064227,-0.1620564936708739,16.719662189483643,3.897200107574463,20.616862297058105,2.753663407878634,1.1063697905479617,0.19161264192939254
gpml_msgp,True,1000,1000,3.0,2.0,0.2,200,1000,0,0.2100103551972252,-0.00358595901209339,16.351128816604614,4.032567977905273,20.383696794509888,2.9545897984904395,3.0391988809110178,0.21424952975274397
gpml_msgp,True,1000,1000,3.0,2.0,0.2,400,1000,0,0.20583899567941394,-0.2535136088476091,16.332022428512573,4.039469957351685,20.371492385864258,2.1101935750875227,2.238771489430308,0.1917085409510307
gpml_msgp,True,1000,1000,3.0,2.0,0.2,800,1000,0,0.20718747275310775,-0.23878380781730846,16.472233772277832,4.072017669677734,20.544251441955566,1.193357998474719,0.8396764730502337,0.20559184314794307
gpml_msgp,True,1000,1000,3.0,2.0,0.2,1600,1000,0,0.18679082121240276,-0.27833363285768487,16.48190188407898,4.161801815032959,20.64370369911194,1.0105194214758288,0.9886480487196223,0.20207809432401053
gpml_msgp,True,1000,1000,3.0,2.0,0.2,3200,1000,0,0.19717672882986373,-0.28758998990591905,16.465726852416992,4.226506471633911,20.692233324050903,1.0065955810729512,0.9954957467889963,0.21450505434887018
gpml_msgp,True,1000,1000,3.0,2.0,0.2,6400,1000,0,0.18050828819449588,-0.2792063531152856,16.59541153907776,4.4325010776519775,21.027912616729736,1.0040824248711249,0.9973988497977759,0.17431193282714633
gpml_msgp,True,1000,1000,3.0,2.0,0.2,12800,1000,0,0.20225974557344478,-0.22379120512826298,16.67560577392578,4.5295186042785645,21.205124378204346,1.001771289775189,0.9987002971369342,0.27795538028130246
gpml_msgp,True,1000,1000,3.0,2.0,0.2,25600,1000,0,0.20954185691312796,-0.04813401614564504,17.116520404815674,4.971868515014648,22.088388919830322,1.0005565263616356,0.9999324454293148,0.5272468686798979
gpml_msgp,True,1000,1000,3.0,2.0,0.2,51200,1000,0,0.1996522295385949,0.07118688578240848,17.915744066238403,6.072510480880737,23.98825454711914,1.0001337398716992,0.999982853320114,0.7263037658083162
gpml_msgp,True,1000,1000,3.0,2.0,0.2,102400,1000,0,0.198448266852095,0.07476812302066672,20.826287746429443,8.82954740524292,29.655835151672363,1.0000382503640037,0.9999713548809311,0.8520711453613791
